username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
lisa00,39,Female,Financial,Tax optimization,0.63,Human
daniel41,45,Other,Technology,Software development tips,0.46,Human
frances41,23,Female,Business,Marketing strategies,0.92,Human
fcarpenter,30,Other,Financial,Budgeting and saving,0.76,AI
wolfbecky,35,Other,Lifestyle,Home organization hacks,0.24,AI
davisheather,65,Female,Business,Leadership and management,0.06,AI
christinerivera,52,Female,Business,Leadership and management,0.71,Human
xlove,20,Male,Lifestyle,Home organization hacks,0.46,AI
samuel35,34,Male,Business,Marketing strategies,0.16,AI
charles60,34,Other,Health,Mental wellness,0.79,AI
ryanmorales,68,Female,Business,Marketing strategies,0.94,Human
davidwilliam,53,Other,Financial,Budgeting and saving,0.43,Human
wthompson,51,Female,Lifestyle,Home organization hacks,0.91,Human
michael59,53,Male,Personal,Career coaching,0.66,AI
lisaanderson,54,Other,Technology,Cybersecurity best practices,0.29,Human
john76,29,Male,Health,Chronic illness management,0.99,AI
zjackson,39,Other,Lifestyle,Sustainable living tips,0.81,Human
bbishop,31,Male,Personal,Career coaching,0.8,Human
ocox,20,Other,Technology,Cybersecurity best practices,0.11,Human
khorn,42,Other,Personal,Career coaching,0.3,AI
margaretglass,29,Male,Technology,Software development tips,0.82,AI
wheelerdean,26,Other,Health,Mental wellness,0.16,Human
jonathanvaldez,50,Male,Financial,Tax optimization,0.3,Human
ruizpam,60,Male,Financial,Budgeting and saving,0.14,Human
mullinsdanielle,47,Female,Personal,Stress management techniques,0.77,Human
belindaperry,45,Other,Lifestyle,Sustainable living tips,0.85,Human
jhiggins,43,Other,Lifestyle,Sustainable living tips,0.45,AI
jamesbarnes,30,Other,Technology,Software development tips,0.49,Human
lewisbrian,44,Other,Personal,Career coaching,0.22,AI
lori86,47,Female,Personal,Career coaching,0.37,AI
cindycarroll,53,Female,Financial,Budgeting and saving,0.73,AI
bweber,35,Female,Health,Exercise routines,0.71,AI
wagnerjeffrey,48,Male,Health,Chronic illness management,0.86,AI
deankatelyn,44,Male,Business,Leadership and management,0.63,AI
sarahbutler,20,Male,Lifestyle,Personal development,0.98,Human
kbrown,44,Male,Personal,Life goal planning,0.81,Human
hansonnathan,44,Male,Health,Dietary advice,0.73,AI
christinaking,20,Other,Personal,Life goal planning,0.28,AI
samantha94,69,Other,Personal,Career coaching,0.76,Human
audreygonzalez,37,Other,Health,Mental wellness,0.49,Human
apeterson,56,Female,Personal,Stress management techniques,0.88,Human
anthonykelley,67,Male,Health,Exercise routines,0.87,AI
hparks,50,Other,Technology,Software development tips,0.07,Human
mullinsjessica,61,Female,Personal,Career coaching,0.33,AI
paul38,34,Male,Personal,Relationship advice,0.93,Human
frankchurch,30,Male,Personal,Life goal planning,0.17,AI
christopherking,60,Female,Personal,Career coaching,0.79,Human
flynnrachel,37,Female,Technology,Software development tips,0.71,AI
parkangela,68,Male,Financial,Tax optimization,0.87,AI
xflores,19,Other,Technology,Emerging tech trends,0.86,AI
joyschmidt,20,Male,Financial,Investment strategies,0.95,AI
bjohnson,34,Female,Financial,Tax optimization,0.88,AI
twu,47,Other,Health,Dietary advice,0.82,AI
hedwards,49,Female,Financial,Budgeting and saving,0.01,Human
briansnyder,37,Male,Health,Mental wellness,0.56,Human
angela93,23,Male,Technology,Cybersecurity best practices,0.13,Human
orobinson,28,Other,Technology,Gadget recommendations,0.43,Human
elliottnathan,70,Male,Personal,Stress management techniques,0.3,AI
qgross,67,Female,Health,Dietary advice,0.11,Human
jessica47,49,Other,Health,Dietary advice,0.37,Human
kimberlyarnold,33,Other,Financial,Investment strategies,0.86,AI
whitekevin,60,Male,Business,Leadership and management,0.93,Human
dwilliams,70,Female,Business,Leadership and management,0.62,AI
brandypittman,28,Other,Financial,Retirement planning,0.1,Human
rjones,28,Other,Financial,Investment strategies,0.11,Human
tinahenry,53,Other,Financial,Retirement planning,0.65,Human
kristineraymond,53,Female,Technology,Cybersecurity best practices,0.76,AI
wuamy,64,Other,Lifestyle,Personal development,0.17,AI
kharris,39,Female,Financial,Retirement planning,0.55,Human
melissakidd,65,Other,Personal,Stress management techniques,0.91,Human
vkeith,55,Other,Technology,Gadget recommendations,0.12,Human
uhamilton,70,Female,Business,Starting a small business,0.91,Human
prodriguez,70,Other,Business,Leadership and management,0.53,AI
alexanderalyssa,49,Female,Lifestyle,Travel planning,0.67,AI
dbullock,54,Female,Lifestyle,Sustainable living tips,0.92,Human
goodmansherry,28,Female,Technology,Emerging tech trends,0.52,Human
robertestes,68,Male,Lifestyle,Personal development,0.53,AI
padillamark,59,Male,Health,Dietary advice,0.77,AI
christinagardner,27,Male,Business,Marketing strategies,0.5,AI
joelgarner,48,Other,Health,Dietary advice,0.85,AI
sonyadeleon,42,Male,Lifestyle,Home organization hacks,0.91,Human
brian64,58,Female,Health,Mental wellness,0.3,Human
ojohnson,43,Male,Lifestyle,Home organization hacks,0.48,AI
mallorymcpherson,19,Female,Personal,Life goal planning,0.92,Human
owensmichael,36,Male,Health,Dietary advice,0.71,AI
thompsonroberta,44,Male,Personal,Career coaching,0.4,AI
tiffanyrichards,46,Other,Financial,Budgeting and saving,0.0,Human
maria77,40,Other,Financial,Investment strategies,0.68,Human
rbeltran,23,Other,Technology,Gadget recommendations,0.98,AI
cynthia07,61,Other,Technology,Emerging tech trends,0.96,AI
sfloyd,18,Male,Personal,Career coaching,0.02,AI
mriley,49,Other,Business,Starting a small business,0.74,Human
freemanjames,49,Other,Personal,Relationship advice,0.42,AI
lisaflowers,28,Male,Personal,Relationship advice,0.54,AI
kristenscott,32,Male,Personal,Life goal planning,0.94,Human
fwalker,26,Male,Lifestyle,Personal development,0.2,AI
angela36,58,Male,Technology,Cybersecurity best practices,0.44,Human
tina76,57,Male,Personal,Stress management techniques,0.73,Human
antonio01,46,Female,Lifestyle,Personal development,0.81,Human
jordan07,34,Female,Financial,Tax optimization,0.93,AI
mwhite,26,Female,Personal,Relationship advice,0.58,AI
mollysmith,22,Male,Personal,Life goal planning,0.4,AI
abigail23,51,Male,Lifestyle,Sustainable living tips,0.93,Human
whitebradley,20,Male,Business,Starting a small business,0.94,Human
jordan89,56,Male,Technology,Software development tips,0.01,Human
xsmith,48,Female,Financial,Retirement planning,0.39,Human
richardtucker,61,Other,Lifestyle,Sustainable living tips,0.95,Human
ywilliams,44,Male,Lifestyle,Personal development,0.89,Human
josephfox,26,Female,Technology,Emerging tech trends,0.05,Human
danielricardo,31,Female,Financial,Budgeting and saving,0.24,Human
druiz,21,Other,Personal,Stress management techniques,0.84,Human
contrerasdawn,68,Male,Personal,Relationship advice,0.11,AI
kennethreese,36,Other,Business,Productivity tools,0.63,AI
lpatterson,52,Female,Lifestyle,Travel planning,0.05,AI
jacquelinewilliams,67,Other,Business,Leadership and management,0.65,AI
blove,52,Male,Health,Dietary advice,0.93,AI
dwood,47,Female,Health,Dietary advice,0.38,Human
proctorjessica,50,Male,Lifestyle,Personal development,0.16,AI
ernestrivera,36,Female,Health,Dietary advice,0.71,AI
laurie21,20,Other,Technology,Cybersecurity best practices,0.44,Human
michael05,36,Other,Business,Starting a small business,0.95,Human
ahopkins,57,Male,Financial,Retirement planning,0.8,AI
colemelissa,67,Female,Personal,Relationship advice,0.97,Human
edwardfriedman,46,Other,Personal,Relationship advice,0.74,Human
stephanie64,35,Other,Technology,Software development tips,0.37,Human
itucker,56,Other,Business,Productivity tools,0.3,AI
jonathan59,25,Other,Business,Marketing strategies,0.03,AI
thomasharris,38,Other,Health,Dietary advice,0.23,Human
ufreeman,52,Male,Health,Exercise routines,0.05,Human
patricklewis,27,Female,Health,Chronic illness management,0.87,AI
frankcheryl,50,Other,Personal,Relationship advice,0.96,Human
aperry,40,Female,Lifestyle,Sustainable living tips,0.42,AI
lharris,32,Female,Lifestyle,Travel planning,0.1,AI
ryan82,61,Male,Business,Leadership and management,0.23,AI
jasmine47,53,Other,Business,Leadership and management,0.79,Human
claudiapeterson,22,Other,Lifestyle,Personal development,0.4,AI
gfranklin,29,Female,Health,Mental wellness,0.21,Human
william61,45,Male,Lifestyle,Home organization hacks,0.77,Human
mark36,63,Female,Business,Marketing strategies,0.66,AI
cjordan,41,Male,Business,Productivity tools,0.17,AI
sara95,38,Female,Financial,Budgeting and saving,0.81,AI
bradshawjames,59,Other,Health,Chronic illness management,0.86,AI
pamelapatel,37,Other,Lifestyle,Sustainable living tips,0.83,Human
nancy90,19,Female,Health,Chronic illness management,0.97,AI
michaelmorrison,18,Female,Personal,Relationship advice,0.87,Human
jonathonshaw,41,Male,Technology,Gadget recommendations,0.74,AI
kgrant,55,Female,Technology,Cybersecurity best practices,0.43,Human
lgordon,58,Other,Business,Leadership and management,0.91,Human
travis76,67,Other,Financial,Retirement planning,0.76,AI
john88,41,Male,Lifestyle,Personal development,0.16,AI
emilyschmitt,56,Other,Financial,Investment strategies,0.71,AI
jessica01,48,Other,Lifestyle,Personal development,0.35,AI
psantana,33,Female,Personal,Career coaching,0.81,Human
vincent15,21,Male,Business,Productivity tools,0.75,Human
drewmoss,68,Male,Personal,Life goal planning,0.25,AI
ypowell,69,Male,Lifestyle,Personal development,0.04,AI
olester,29,Female,Technology,Gadget recommendations,0.8,AI
carla43,67,Male,Technology,Software development tips,0.8,AI
pearsonjames,43,Female,Personal,Life goal planning,0.24,AI
jjordan,46,Other,Financial,Tax optimization,0.95,AI
brendadunn,65,Female,Business,Marketing strategies,0.99,Human
ovargas,18,Other,Health,Exercise routines,0.59,Human
